                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4555,                 3.6404,                 1.1333,                0.39092,                0.23671,                0.27277,                0.16427,                 1.3374,                 2.5501,                 1.1421,                0.09172,                0.00072,                0.00072
                      1,                 1.0599,                 1.1409,                0.99692,                0.86193,                0.71756,                 0.7892,                0.56201,                0.97802,                0.91718,                  0.979,               0.082474,              0.0014743,              0.0014743
                      2,                0.95371,                0.76916,                0.95457,                0.91213,                0.79574,                0.88285,                0.64237,                0.93523,                0.73921,                0.94522,               0.073181,              0.0021805,              0.0021805
                      3,                0.93609,                0.66254,                0.92853,                0.94768,                0.83525,                0.90758,                0.67404,                0.90498,                0.60849,                0.92333,               0.063839,              0.0028386,              0.0028386
                      4,                0.87722,                0.59749,                0.91506,                0.96244,                0.87286,                0.91828,                0.68912,                0.91968,                0.57739,                0.92569,               0.054449,              0.0034486,              0.0034486
                      5,                0.91449,                0.55289,                0.93236,                 0.9775,                 0.8828,                0.93008,                0.69916,                0.89287,                0.56639,                0.91149,               0.045011,              0.0040106,              0.0040106
                      6,                0.87299,                0.62226,                0.91175,                 0.9782,                0.88785,                0.93463,                0.70837,                0.88571,                0.49561,                0.90931,               0.035524,              0.0045244,              0.0045244
                      7,                0.92668,                0.58057,                0.91555,                0.97674,                0.89581,                0.93831,                0.68784,                0.95469,                0.54305,                0.92798,                0.02599,              0.0049901,              0.0049901
                      8,                 0.9522,                0.53081,                0.91202,                0.98033,                0.90774,                0.93705,                0.71126,                0.89948,                0.45874,                0.90438,               0.016408,              0.0054077,              0.0054077
                      9,                0.97227,                0.52601,                 0.9212,                0.98231,                 0.9025,                0.93564,                0.68241,                0.96621,                 0.4805,                0.93206,              0.0067773,              0.0057773,              0.0057773
                     10,                0.96243,                0.52541,                0.91543,                0.96005,                0.91565,                0.93679,                 0.6938,                 0.9294,                0.48175,                0.91706,              0.0055952,              0.0055952,              0.0055952
                     11,                0.87138,                0.49157,                0.90141,                0.97596,                0.89803,                0.93735,                0.71638,                0.88625,                0.49723,                0.89857,              0.0055952,              0.0055952,              0.0055952
                     12,                0.90282,                0.55172,                0.90661,                0.97609,                0.90173,                0.93596,                0.71087,                0.88394,                0.53354,                0.90526,              0.0053547,              0.0053547,              0.0053547
                     13,                0.89871,                 0.5353,                0.89462,                0.96878,                0.90903,                0.93898,                0.70136,                0.94148,                0.49251,                0.92807,              0.0051142,              0.0051142,              0.0051142
                     14,                0.85688,                0.47894,                0.90572,                0.97365,                0.91766,                0.94253,                0.69947,                0.94931,                0.45379,                0.93476,              0.0048737,              0.0048737,              0.0048737
