                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                  0.873,                0.45138,                0.90887,                0.98871,                 0.9159,                0.94309,                0.72892,                0.86682,                 0.4258,                0.90448,              0.0046332,              0.0046332,              0.0046332
                     16,                0.84398,                0.47713,                0.89502,                0.98246,                 0.9162,                0.94085,                0.72357,                0.86744,                0.47634,                 0.9093,              0.0043927,              0.0043927,              0.0043927
                     17,                0.81982,                0.46066,                0.88641,                0.97912,                0.91428,                0.94227,                   0.73,                0.85558,                0.43792,                 0.9058,              0.0041522,              0.0041522,              0.0041522
                     18,                0.83231,                 0.4682,                0.88908,                  0.983,                0.92667,                0.94388,                0.72345,                0.87645,                0.44071,                0.91494,              0.0039118,              0.0039118,              0.0039118
                     19,                0.80092,                0.43906,                0.89156,                0.98431,                0.92241,                0.94363,                0.73938,                0.83609,                0.42306,                0.89905,              0.0036713,              0.0036713,              0.0036713
                     20,                0.79797,                0.43341,                0.87959,                0.98512,                 0.9219,                0.94463,                 0.7429,                0.83638,                0.42247,                0.89875,              0.0034308,              0.0034308,              0.0034308
                     21,                0.80034,                0.41722,                0.88735,                0.98029,                0.93017,                0.94735,                0.74358,                0.83786,                0.40003,                0.89845,              0.0031903,              0.0031903,              0.0031903
                     22,                0.79627,                0.42075,                0.88526,                0.98979,                0.92509,                0.94556,                0.74616,                0.85479,                0.40066,                0.89976,              0.0029498,              0.0029498,              0.0029498
                     23,                0.77072,                0.38033,                  0.894,                0.99496,                0.92689,                0.94996,                0.74795,                0.85695,                0.39055,                0.89745,              0.0027093,              0.0027093,              0.0027093
                     24,                0.76069,                0.36813,                0.88003,                0.99278,                0.92303,                0.94951,                0.74588,                0.86202,                0.39055,                0.89811,              0.0024688,              0.0024688,              0.0024688
                     25,                0.75338,                0.35733,                 0.8683,                 0.9867,                  0.925,                0.94944,                0.74805,                0.85821,                0.38497,                0.89733,              0.0022284,              0.0022284,              0.0022284
                     26,                0.74072,                0.34434,                0.87619,                0.98641,                0.92542,                0.94984,                0.75037,                0.85146,                0.38054,                0.89417,              0.0019879,              0.0019879,              0.0019879
                     27,                0.73982,                0.34818,                0.87638,                0.98655,                0.92814,                0.95012,                0.74988,                0.85517,                0.37484,                0.89691,              0.0017474,              0.0017474,              0.0017474
                     28,                0.73374,                0.34671,                 0.8643,                0.98663,                0.92438,                0.95079,                0.75085,                0.84912,                0.37382,                0.89541,              0.0015069,              0.0015069,              0.0015069
                     29,                0.73481,                0.34643,                0.87436,                0.98364,                0.93357,                0.94979,                0.75222,                0.85155,                0.36818,                0.89555,              0.0012664,              0.0012664,              0.0012664
                     30,                0.73312,                0.33749,                0.87866,                0.99194,                0.93329,                0.95165,                0.75277,                0.85097,                0.36393,                 0.8952,              0.0010259,              0.0010259,              0.0010259
                     31,                0.73384,                0.34181,                0.86294,                0.98509,                0.92916,                0.94749,                0.74599,                0.86796,                0.36685,                0.90193,             0.00078545,             0.00078545,             0.00078545
                     32,                0.72143,                0.33329,                0.86198,                0.99409,                 0.9223,                0.95017,                 0.7476,                0.85677,                0.36607,                0.90053,             0.00054497,             0.00054497,             0.00054497
